,tweet,subtask_a
0,native take ask american,1
1,home go drunk urls,1
2,selling amazon chinese urls looking internal sellers party marketplace employee investigating edge data third competitive,0
3,volcano piece take someone shit,1
4,want move liberal obama state red illegals,0
5,voodoo liberal,1
6,shit tough,1
7,talking literally shooting low us issue terrorism mass major set divide gun like propaganda use control,1
8,ice cream buy,0
9,fuck doe another need already country canada great enough king,1
10,gun support control fault,0
11,old urls year difference years going grope ago one men girl admit sci,0
12,corrupt lying urls traitor want anymore hear lie nobody,1
13,playing scare every warp hockey puck american,0
14,lot boarder soda ice like,0
15,also king taste,0
16,top vote listen urls watching liberal dirt one hurt never like listening love sing,0
17,respond four support good canadian reason concern gun five right strong house control time,0
18,maybe mon hands good ope besides favourite person jan show like,0
19,asking gun kid control,1
20,nonsense low urls throw flag bullshit,1
21,correct,0
22,anti member left everyone wanna like conservative communist associate kind,1
23,fuck pick woman going one men room people stick,1
24,urls born could furious exactly holding willie give rally specific love fan beta since,0
25,connect days tbs like people annoyance general,1
26,korean official urls leaders menu pyongyang south discus specific measure,0
27,hooper tell,0
28,like feel title chase better,0
29,refer know bash democrat bernie doe hillary left actual tiresome democratic party divide clinton raise positive supporter message money,1
30,zionist glad supporting urls much friend see right metis,0
31,asking yes movie,0
32,trump lying stop thing stalling lately democrat,1
33,apologetic social wonder day,0
34,ending urls prof blatant update,0
35,anti lay bed free thanks know listen cry happen going clarion speech kelly,0
36,urls sentence flynn reschedule gen keep smart think,1
37,leftist terrorist placate violent expect,1
38,blow hard,0
39,maybe try new means game max user lvi twitter,0
40,racist split bernie explain means even want exclusionary rest opposition conservative escape please control,0
41,anti part downtrodden also problem semitism well conflate criticism politics stand israel socialist,0
42,nina big character worry long read goddamn bold die book would arc reason everyone one goddess trust times lovely thousand perfect,0
43,shady vote woman havana ugh disqualify scotus allegation matter fit financial please,0
44,racist say repeat pal,0
45,trump steel president trade change spine patriot everything great love kathy american,0
46,humour liberal really wow sense,0
47,ready fucking,0
48,moly awaken holy people catholic,0
49,yeah per unless donation low vet claudia etc get example everyday care limping dina horse,0
50,anti worst blk gonna belief us happen history sorts take surprise way right withing america enemy,0
51,pretty wedding best,0
52,anti involve left also agenda conflict violent look,0
53,come vote idea urls fruition labour get every stealing announcement basically,0
54,racist vote voter british conservative coincidence people full basically,1
55,horrific urls stop must fall electorate assure advocate love,0
56,would alright mend tweet huge camilla material promotional love fan use,0
57,fuck,1
58,genocidal philosophy would toward weird minority know population share margaret suffer abort certainly opinion sanger like black view,0
59,fuck potentially miss still intent murder prisoner hurricane louisiana go system away prison like die getting inmate,1
60,attempt follow thing never right useless,1
61,poison party liberal urls,0
62,trump doe white man cruel grateful dog house,1
63,stick fact pay lying,0
64,trump fun butt dem kick,1
65,dumb one president two,1
66,attempt donation urls minister charity expense,0
67,forward deanna free talk man even gather main artist industry quality porn any senior love straight really like kit nay dance saw,0
68,prison clown,1
69,urls jack retaliation question asking silence alex twitter jones,0
70,man old,1
71,anti pharisee running obstructionist get nothing manga ask american,1
72,represent anti know big go similar fascist view read marxist tool things ahead right fascism book squat use leftist words orwellian links site fool blu either psst like lie,0
73,anti hater centrist things quite somehow seem never bring remember condemn,0
74,urls gun mean work right control,1
75,trump stop last need thing mind flatter important april ryan think,0
76,conservative principled,0
77,back forget democrat,0
78,real royalty values teach going stay person kid keep teaching head beautiful,0
79,anti son criminal campaign bring,0
80,come saturday together watching game even make moment yet people story stand damn september proud playing shoulder protest cannot watch issue,0
81,feelings make water tear,0
82,trump represent let urls address say gun ora control,0
83,much bloat tool aid drinking,1
84,prosecute need holder,0
85,colour player woman,0
86,window let behave licker tweet institution,1
87,old know done mad get kid three people babysitting think,0
88,well urls,0
89,threat etc urls,1
90,anti digestible even content profitable base response show story emotional nuance easily need understand get require picture order level,0
91,try old looking plain liberal one conversation democrat,0
92,old news go moonbeam great coma,0
93,fly org extra,0
94,trump call sociopath narcissistic please,1
95,would racist group minority call unfortunately system america liberal exam like believe,0
96,odd still know day career wonder railroad love especially alive,0
97,guy low bet always present,0
98,baby urls,0
99,fam persuasive,0
100,new vote urls going liberal nothing anyway november,0
101,cool burt dude,0
102,back follow,0
103,okay thank point happy using heat finally,0
104,trump doe kind like huh time,0
105,citizen anti arrest white former someone house explain,0
106,fuck pm,1
107,loser good move big,1
108,enjoy let best offer check asap get sure nevin bruce bottom make zip code back,0
109,know record doug credible next election sen jones choice personally,0
110,feelings president doe liberal opposite say totally,0
111,par anti benefit want fash deport nazi jew narrative side two pc prevent coin literally group one comparison exterminate punch,1
112,many argument gun may common dumb control,1
113,id going,0
114,urls anytime drop back doe chill could things work pizza bounce still need abysmal baseball happen really half yes power numbers st,0
115,dude old lao go pack,0
116,trump supporter abuse anti branch socialist attack even meet left party hat nazi without communist wear animal democrat,0
117,get enough laugh,0
118,well,0
119,paper even pizza first,0
120,anti hand please kill,1
121,maybe good obviously doom game excuse still see thing seem say healthy pretty spoon sort ghanaian,0
122,girl good,0
123,hearted urls troll ugly black,1
124,pokemon almost master legacy depend value candy game piece collection modesto clearly like keep alone rare,0
125,hype believe done,1
126,new follow manga please back,0
127,lose report worse soon urls even realise doomed one say getting type fan except,0
128,would vote still claim comment man integrity liberal take context,0
129,save manga,1
130,bringing honor yoko rich decency picture,0
131,riddance good,0
132,goddess,0
133,part worst hurt make standing caught case cd doe thing nope rest yeah best suffering asking poor pretty dead like org,0
134,probably imagine safe list century conservative shadow feel snowflake might lurk working huskies saw,1
135,party very split tory light last even soon see election may conservative coming,0
136,hater reason urls damn get delete,1
